exam_file,id,stem,option_A,option_B,option_C,option_D,correct_option
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-017,دختر خانم ۱۶ ساله به دلیل درد شکم سونوگرافی انجام داده است. تومور بدخیم ژرم سل یک طرفه مطرح شده است. در بررسی تومورمارکرها فقط AFP بالا گزارش شده است. کدام روش جراحی صحیح است؟,سالپنگواوفورکتومی دوطرفه,سیستکتومی,سالپنگواوفورکتومی یکطرفه و بیوپسی تخمدان مقابل,سالپنگواوفورکتومی یکطرفه,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-018,خانم ۳۸ ساله‌ای تحت ساسپنشن لیگامان یوتروساکرال با بخیه‌های قابل جذب تأخیری قرار می‌گیرد. سه ماه پس از عمل، از دیس‌پارونی شاکی است و در معاینه بخیه‌ها در واژن لمس می‌شود. مناسب‌ترین اقدام کدام است؟,تجویز کرم موضعی استروژن,برداشتن جراحی بخیه‌ها تحت بیهوشی,کشیدن بخیه‌ها در مطب,اطمینان دادن و بررسی مجدد,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-019,کدام یک از تکنیک‌های ترمیم کمپارتمان خلفی شانس عود بالاتری دارد؟,Sacrocolpoperineopexy,Graft Augmented,Vaginal Approach,Transanal Approach,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-020,در زمان انجام جراحی لوفورت در یک خانم ۷۲ ساله، پریتوئن باز می‌شود. کدام اقدام مناسب است؟,بستن نقص به صورت interrupted و ادامه جراحی,لاپاراتومی تشخیصی,کارگذاری مش جهت بستن نقص پریتوئن,تبدیل جراحی لوفورت به ترمیم کمپارتمان قدامی و خلفی,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-021,کدام روش جراحی زیر از نظر ساسپنشن و حمایت اورترا در درمان بی‌اختیاری استرسی ادراری با بقیه متفاوت است؟,Marshall-Marchetti,Burch Urethropexy,Pubovaginal sling,Trans obturator sling,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-022,در حین جراحی هیسترکتومی رادیکال در کانسر سرویکس مرحله IB2، جراح با غدد لنفاوی بزرگ پاراآورتیک مواجه می‌شود. مناسب‌ترین اقدام بعدی چیست؟,هیسترکتومی رادیکال,اتمام جراحی و ارجاع برای پرتودرمانی,فروزن بیوپسی از غدد لنفاوی و تصمیم‌گیری بر اساس نتیجه پاتولوژی,هیسترکتومی رادیکال و لنفادنکتومی لگنی و پاراآورتیک,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-023,خانم ۳۱ ساله پس از میومکتومی لاپاروسکوپیک در یک ساعت اول بعد عمل با علائم تاکیکاردی 126/min، فشار خون ۹۶/۴۴، و Hb = 6.2g/dL تحت نظر می‌باشد. پس از دریافت ۱ لیتر رینگر لاکتات، فشار خون افزایش نیافته و تاکیکاردی شدت یافته است و سونوگرافی در بالین بیمار مایع در شکم را گزارش کرده است. با توجه به داده‌های بالینی و ABG نرمال، کدام اقدام مناسب است؟ (صفحه ۴ از ۲۰),تجویز مایعات بیشتر به صورت کریستالوئید,شروع وازوپرسور و ادامه سرم درمانی,انتقال فوری به اتاق عمل و تزریق ۲ واحد خون,ادامه‌ی مانیتورینگ در ICU,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-024,خانم ۴۰ ساله با وزن ۱۲۲ کیلوگرم کاندید عمل سزارین می‌باشد. جهت کاهش ریسک عفونت بعد از عمل کدام اقدام زیر صحیح است؟,تجویز ۲ گرم سفازولین قبل از عمل,نزدیک کردن بافت زیر جلدی در صورت عمق ۳.۵ سانتی‌متر,برداشتن پانیکولوس حین جراحی,استحمام با کلرهگزیدین شب قبل از عمل,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-025,خانم ۲۲ ساله، ۴ روز پس از ترمیم پارگی درجه ۳ به دنبال زایمان واژینال، با شکایت درد، بازشدگی زخم و ترشحات چرکی مراجعه می‌کند. پس از شروع آنتی‌بیوتیک و دبریدمان زخم، کدام اقدام در زمان ترمیم زخم صحیح است؟,NPO تا ۴۸ ساعت بعد از ترمیم,آمادگی مکانیکی روده,آزادسازی بافت جهت ترمیم بدون کشش,مصرف نرم‌کننده مدفوع جهت ایجاد اسهال,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-026,خانم ۴۳ ساله به دلیل خروج توده از واژن تحت جراحی هیسترکتومی واژینال و High uterosacral suspension قرار می‌گیرد. ۱۰ روز پس از جراحی با شکایت خروج ادرار از واژن بررسی می‌شود و در CT با کنتراست وریدی، آسیب حالب مشخص می‌گردد. روش ترمیمی مناسب کدام است؟,Primary repair over ureteral stent,Ureteroureterostomy over ureteral stent,Uretero ileal interposition,Ureter neo cystostomy with psoas hitch over ureteral stent,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-027,دختر ۲۱ ساله با تشخیص تورشن تخمدان دو طرفه با کیست ۵ و ۶ سانتی‌متری درموئید تحت جراحی لاپاراتومی سیستکتومی و اوفوروپکسی تخمدان راست قرار می‌گیرد. بیمار سابقه جراحی سیستکتومی تخمدان راست بدون تورشن ۲ سال قبل داشته. کدام ویژگی این بیمار، توجیه‌کننده انجام اوفوروپکسی است؟,سن بیمار,سابقه جراحی قبلی سیستکتومی تخمدان راست,تورشن دو طرفه,درموئید بودن کیست,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-028,خانم ۲۸ ساله، G2P2، دو ساعت پس از انجام زایمان واژینال طبیعی بدون عارضه، دچار درد مبهم در قسمت پایین و چپ شکم شده است. علائم حیاتی پایدار است. هموگلوبین اولیه ۱۱ گرم در دسی‌لیتر است. در معاینه شکم، حساسیت خفیف لوکالیزه در ناحیه لگنی و در معاینه دودستی، توده‌ای بدون نبض در سمت چپ رحم لمس می‌شود. در سونوگرافی یک توده هیپواکو با اندازه ۶×۴ سانتی‌متر در کنار رحم دیده می‌شود که هماتوم broad ligament را مطرح کرده است. بهترین اقدام کدام است؟,انتقال فوری به اتاق عمل جهت جراحی,انجام CT scan لگن با ماده حاجب,شروع آنتی‌بیوتیک وسیع‌الطیف و جراحی اورژانسی,پایش دقیق علائم حیاتی، CBC,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-029,کدام آنومالی رحمی در بروز آندومتریوز نقش دارد؟,Bicornuate,Didelphys,Unicornuate,Septate,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-030,برای اندازه‌گیری قابل اعتماد AMH کدام مورد صحیح است؟,باید در فاز فولیکولار انجام شود.,مقدار آن تحت تاثیر گنادوتروپین‌ها قرار می‌گیرد.,مقدار آن تحت تاثیر هورمون‌های جنسی قرار می‌گیرد.,سرکوب طولانی‌مدت تخمدان‌ها بطور کاذب سطح آن را کاهش می‌دهد.,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-031,میوز دوم اووسیت در چه زمانی تکمیل می‌شود؟ (صفحه ۵ از ۲۰),در دوران جنینی,در شروع بلوغ,در زمان تخمک‌گذاری,در زمان لقاح,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-032,دختر بچه ۶ ساله‌ای با شکایت رشد موهای زهار در چند ماه اخیر به درمانگاه آورده شده است. در معاینه رشد جوانه های پستان دیده نمی‌شود. در آزمایشات DHEA-S نرمال است و سن استخوانی بر اساس X-Ray مچ دست متناسب با سن تقویمی است. کدام اقدام درست است؟,MRI سر,تست تحریکی با ACTH,درمان انتظاری با بررسی مجدد ۶ ماه بعد,شروع درمان با متفورمین,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-033,کدامیک از داروهای زیر در فرایند لانه گزینی تأثیر منفی دارد؟,انوکساپارین,پروژسترون,ایندومتاسین,داکسی سیکلین,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-034,کدام عارضه بارداری در بیمار چاق مبتلا به PCOS شیوع کمتری دارد؟,سقط,دیابت بارداری,پره اکلامپسی,وزن کم هنگام تولد,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-035,در خانمی با شکایت آمنوره و سابقه کانسر تیروئید که تحت درمان با ید رادیواکتیو بوده است، انتظار داریم آمنوره بیمار بعد از چه مدت از اتمام یددرمانی برطرف شود؟,۲ تا ۳ ماه,۳ تا ۶ ماه,۶ تا ۱۸ ماه,۲۴ ماه,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-036,خانم ۲۵ ساله با تشخیص PMS با علائم جسمی با ارجحیت حساسیت پستان و نفخ شکم، خواهان درمان دارویی است. کدام درمان دارویی را به‌عنوان خط اول توصیه می‌کنید؟,قرص ترکیبی ضد بارداری حاوی دروسپیرنون,استفاده از استروژن و پروژسترون در فاز لوتئال,آگونیست GnRH و درمان add back,آنتاگونیست خوراکی GnRH,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-037,در ارزیابی بیمار مبتلا به هیرسوتیسم شدید، سطح DHEA-S بالا است. برای تشخیص ضایعه آدرنال اولین روش تصویربرداری کدام است؟,سونوگرافی,MRI,PET اسکن,سی تی اسکن,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-038,خانم ۴۹ ساله که بدلیل خونریزی نامنظم و طولانی واژینال تحت نمونه‌گیری با پایپل قرار گرفته است با گزارش پاتولوژی مبنی بر هایپرپلازی مراجعه کرده است. اقدام بعدی چیست؟,شروع پروژسترون,هیسترکتومی,درمان با داروهای افزاینده انعقاد خون,نمونه برداری آندومتر تحت کورتاژ,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-039,در خانم مبتلا به هیپوتیروئیدی و تحت درمان با لووتیروکسین دوز دارو را به علت کنترل نشدن میزان TSH افزایش داده‌ایم، حداقل زمان لازم برای چک مجدد TSH بعد از افزایش دوز دارو، چند هفته است؟,۱۰,۸,۶,۴,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-040,در تشخیص سندرم متابولیک همه معیارهای بالینی و پاراکلینیکی زیر توصیه می‌گردد بجز:,هیپرتانسیون 130/85 یا بالاتر,TG ≥ 150mg/dl و کلسترول HDL کمتر از 50mg/dl,نسبت قند ناشتا به انسولین ناشتا,2hGTT با ۷۵ گرم گلوکز بالاتر از 140mg/dl,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-041,در کمبود ۵-آلفا ردکتاز کدام یک از هورمون‌های زیر کاهش می‌یابد؟,دی هیدرو تستوسترون,آندرستندیون,پرگننولون,آلدوسترون,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-042,در کدامیک از بیماران زیر در صورت تجویز هورمون درمانی یائسگی، مصرف پروژسترون لازم نیست؟ (صفحه ۶ از ۲۰),خانمی که به علت اندومتریوز پیشرفته TAH - BSO شده است.,خانم ۵۷ ساله‌ای که به علت میوم بزرگ رحمی هیسترکتومی سوپراسرویکال شده است.,خانم ۴۰ ساله‌ای که به علت خونریزی رحمی کاواترم شده و FSH = 100 دارد.,خانم ۴۵ ساله‌ای که به علت هایپرپلازی آندومتر TAH - BSO شده است.,
ertegha_1404.jsonl,OBGYN-1404-ERTEGHA-GENERAL-043,خانم ۴۲ ساله با ناباروری اولیه دو ساله مراجعه کرده است. همسر ایشان ۴۹ ساله است و اسپرموگرام نرمال دارد. مهم‌ترین عامل در احتمال موفقیت ART در این زوج کدام است؟,سن بیمار,سن همسر بیمار,سطح AMH,تعداد فولیکول‌های آنترال,
